"","Row.names","baseMean","log2FoldChange","lfcSE","pvalue","padj","X","GeneName"
"66","AT1G01630",1330.63744129634,-0.0974228870664069,0.0900059225092242,0.248757846304016,0.475714049247466,"AT1G01630","AT1G01630"
"67","AT1G01640",229.35760633927,0.204618257275903,0.160530939819117,0.1264256322033,0.311700493617786,"AT1G01640","AT1G01640"
"68","AT1G01650",1548.98026270694,-0.159393324306181,0.134616409580708,0.180807415155551,0.390792413184884,"AT1G01650","SPPL4"
"69","AT1G01660",67.8042795596738,0.766405635897339,0.455332555899274,0.00607757471028581,0.0369504969294358,"AT1G01660","AT1G01660"
"70","AT1G01670",42.7551743707892,1.02127394138115,0.508145917074259,0.00220545010701659,0.0168957400400273,"AT1G01670","PUB56"
"71","AT1G01680",18.7669237438957,-0.00266819157085152,0.278692243401118,0.97917272085513,0.991175094583991,"AT1G01680","PUB54"
"72","AT1G01690",186.958283082239,-0.0697839869270547,0.181780697977063,0.619120117791716,0.799150825052078,"AT1G01690","ATPRD3"
"73","AT1G01695",11.1332665860763,0.018427311792821,0.265855018015772,0.845156712098798,0.928603106091953,"AT1G01695","AT1G01695"
"74","AT1G01700",23.3350686571236,-0.0413961523825515,0.251364646588505,0.729515746522622,0.864500648040644,"AT1G01700","ATROPGEF2"
"75","AT1G01710",461.121106558659,-0.0569245440165669,0.115117716665364,0.582048970556514,0.772566191829338,"AT1G01710","AT1G01710"
"76","AT1G01715",54.7294871424008,0.0173547112613093,0.237390479814283,0.885775914680137,0.948237197894527,"AT1G01715","AT1G01715"
"77","AT1G01720",2977.00688793846,0.415611239313398,0.140910772076985,0.000937290661299755,0.00864832874945983,"AT1G01720","NAC002/ATAF1"
"78","AT1G01725",61.2195563733465,0.0104751694877823,0.211324764645745,0.95075750220066,0.978659972040514,"AT1G01725","AT1G01725"
"79","AT1G01730",463.597843651827,-0.218397885305199,0.135218718405963,0.0642111541282041,0.198774217153654,"AT1G01730","AT1G01730"
"80","AT1G01740",105.215972195664,0.0243783934204007,0.210955431742738,0.849320859058646,0.930682136527647,"AT1G01740","BSK4"
"81","AT1G01750",548.677395801332,0.640714937371573,0.178957361547285,4.91624056807575e-05,0.000773154448294678,"AT1G01750","ADF11"
"82","AT1G01760",82.7207731234046,-0.736733063698642,0.344536829860212,0.00281971235178885,0.0203926631811085,"AT1G01760","AT1G01760"
"83","AT1G01770",342.324453662133,-0.782434488421915,0.189665511324691,4.02038853081568e-06,9.34546631611769e-05,"AT1G01770","AT1G01770"
"84","AT1G01780",348.248587465325,-0.417824999614426,0.214090614999956,0.0127940189952913,0.0644929060614744,"AT1G01780","PLIM2B"
