"GeneID","GeneName","Cluster","Order","Na_REG","NaCl (130mM)","NaNO3 (130mM)","KCl (130mM)","Sorbitol (260mM)","ABA (25uM)","NaCl (130mM)_padj","NaNO3 (130mM)_padj","KCl (130mM)_padj","Sorbitol (260mM)_padj","ABA (25uM)_padj"
"AT2G47530","AT2G47530",1,2668,"NSS",0.860401361957791,0.986307382401893,0.357807184178133,0.285547566316887,0.567248168190515,5.10262583434663e-11,8.53448286462167e-15,0.00591791839881477,0.0231179353499672,9.61151363822257e-06
"AT2G47550","PME20",5,1740,"NSS",-1.33984075703873,-1.28583947583529,-1.54235114901047,-1.64155016987488,-0.872293644957786,3.67045519216038e-20,3.94654249644686e-20,3.94177542545409e-24,1.46975022025352e-28,5.71425674828216e-11
"AT2G47560","ATL64",4,1963,"NSS",-1.15401282571474,-1.05146728566612,-0.369111207582328,-0.339474543356934,-0.50221286735579,1.53835923595091e-12,1.07014943766997e-11,0.00904313741393486,0.0149135212053361,0.000563943585904357
"AT2G47600","MHX",2,4749,"NSS",0.678799289340754,0.885960053850267,0.784974709128718,0.659969098890461,0.959783368387089,5.51060546187371e-21,1.96732183188543e-36,3.6643523116864e-27,4.03213011117718e-20,1.13318168670698e-41
"AT2G47680","AT2G47680",1,4439,"NSS",0.493721469562528,0.377053201080661,0.506844194394539,0.138444653899716,0.159334351406016,1.87949591061334e-05,0.00101332153388291,1.46376439105799e-05,0.27943447285269,0.185089246110517
"AT2G47710","AT2G47710",2,4882,"NSS",1.41833901771963,0.852530539338026,1.12580332946696,0.772771787989902,1.42732269509902,1.45214483528817e-25,2.1351879058939e-11,2.40889624148443e-17,8.12610098001203e-10,1.47417379836534e-25
"AT2G47730","GSTF8",3,838,"NSS",-0.612232793879288,-0.734500138800068,-0.260088573517995,-0.531603203771176,-0.419338446765286,5.16986849872471e-05,1.40174595290735e-06,0.063127249202288,0.000463903456144746,0.00461980965422336
"AT2G47770","TSPO",2,5124,"NSS",1.71636406323688,0.840282139680255,2.04982692242346,1.27722051051326,4.59360044978154,2.53043140814304e-29,2.50177228927724e-17,6.91348165150606e-35,3.52403727582343e-23,4.23563730857794e-90
"AT2G47780","AT2G47780",1,2919,"NSS",0.508080134607657,0.481591466533457,1.21093418286297,0.283604745857231,3.35390986381963,1.83452096180427e-05,2.07285049436749e-05,8.29731457883752e-08,0.0001083249546307,6.33435682722461e-17
"AT2G47800","ABCC4/ATMRP4",1,3301,"NSS",0.48202620504975,0.563861805637688,0.56407719327887,0.0940540288803955,0.764472844177917,1.10251344808923e-05,2.39313216878557e-07,2.77415480811335e-07,0.405788151524746,1.81884306486746e-12
"AT2G47870","GRXC12",1,4134,"NSS",0.525265114610836,0.145197280867766,-0.0505509973259918,0.518963317340717,1.38568154945454,0.000984279842736314,0.00674968356258948,0.020696049430074,0.00107280255041603,1.31506576176165e-05
"AT2G47890","COL13",4,1957,"NSS",-0.457902493989529,-0.911897186672905,-0.396662929779579,-0.447555587334761,-0.401076951533615,0.000304297276368184,1.04001174640855e-12,0.00178981028412078,0.000504948688425423,0.0014332454116812
"AT2G47950","AT2G47950",2,5054,"NSS",1.61573434423854,1.29468902086304,1.17814291468928,1.04220647082207,2.0072730065654,7.80483785857653e-25,6.65858216830709e-19,1.19505120839267e-15,5.45726207422094e-14,2.25109586252107e-34
"AT2G48020","AT2G48020",3,811,"DOWN",-0.476111413272608,-0.551061576379959,-0.165008614315961,-0.238982696701364,-0.0832779894602262,0.000579736104457311,5.50320877651291e-05,0.237412702179626,0.103059160107666,0.518374655601281
"AT2G48030","AT2G48030",3,351,"NSS",-0.105351177292785,-0.577848355287315,-0.351597472132443,-0.109673603258746,0.339739854531991,0.470402162493751,5.26722278003322e-05,0.0203497924977354,0.510239198119455,0.0675154441531673
"AT2G48080","AT2G48080",2,5012,"NSS",1.34403480017183,0.383665999578354,1.18667396295086,0.843873429894261,-0.186036846249932,1.25699170309954e-20,0.00183562015019883,1.37847389051567e-16,1.08639488945762e-09,0.989072434438032
"AT2G48090","AT2G48090",2,4909,"NSS",1.42271928385313,1.11888014463037,1.00357816808401,0.17619371686385,1.01640035975704,6.77236159407906e-18,1.21965849930653e-12,1.73776803144221e-10,0.0401862469286794,1.23121022702317e-10
"AT2G48130","AT2G48130",4,2484,"NSS",-0.587610693705912,-0.739108160910309,-1.00542737289577,-0.876316253912873,0.147499178497985,4.01301274639122e-05,3.38435505091538e-07,3.06984426300144e-11,2.86575349495642e-09,0.995085747657266
"AT2G48140","EDA4",4,2525,"NSS",-0.393359320757141,-0.665990000640918,-0.69533692424885,-1.24490803455932,-0.337323839888905,0.00564219837275344,2.02495601439719e-05,1.33327612768653e-05,1.07133238541209e-13,0.0143522967491122
"AT3G01070","ENODL16",3,896,"NSS",-0.459340935904802,-0.308335615560829,-0.302824966344469,-0.574616844076217,-0.491880205165052,0.00464966900769909,0.0405038707689223,0.0593398399412477,0.00048896620205139,0.00245762140629855
"AT3G01080","WRKY58",1,3391,"NSS",0.563225848214288,-0.0618670563706936,0.4819268900296,0.786040280373093,-1.07608127137363,0.0182945006417901,0.598628671458479,0.0388258833168859,0.00190624525093058,0.0980866583372694
"AT3G01175","AT3G01175",3,1510,"NSS",-0.577172640216441,0.0626404798658843,-0.757110455182009,-0.886920157050523,-1.68718219717489,0.000688513070652196,0.591222194415655,3.51455389936957e-05,9.11156993782539e-07,1.63550098742758e-15
"AT3G01190","PER27",4,2191,"NSS",-1.10386967090408,-1.15438955255939,-1.04927082336964,-0.36739712168178,-1.29096297319607,1.89290425965794e-17,5.31573592692944e-19,5.96733935218571e-16,0.00175474370250374,1.25380881921165e-22
"AT3G01260","AT3G01260",5,1580,"NSS",-1.49394496698104,-1.90551100853584,-1.16082430202734,-0.899432627742502,-3.24212943445348,2.03097863704923e-34,2.80060089656681e-54,1.45028445495295e-22,1.51602386478529e-15,2.03485876539531e-117
"AT3G01290","HIR3",4,2278,"NSS",-1.40229644468285,-0.816861869265277,-1.53375191294388,-0.666398239231993,-2.6671210454652,1.09572182193773e-18,1.14208740791399e-08,1.81453829750737e-21,1.09487388206621e-06,3.37033315275406e-52
